State,Rural 2011-12 Poverty Expenditure Per Capita,Urban 2011-12 Poverty Expenditure Per Capita,Headcount Ratio (%),2011 rural percentage,FII Rank,CFII,CDI,text_for_nlp
Himachal Pradesh,913,"1,064",11.2,89.96,0.41377,0.2798,0.404,"himachal pradesh. rural poverty expenditure per capita: 913. urban poverty expenditure per capita: 1,064. headcount ratio: 11.2%. 2011 rural percentage: 89.96. fii rank: 0.41377. cfii: 0.2798. cdi: 0.404"
Mizoram,"1,066","1,155",11.9,48.49,,,,"mizoram. rural poverty expenditure per capita: 1,066. urban poverty expenditure per capita: 1,155. headcount ratio: 11.9%. 2011 rural percentage: 48.49. fii rank: nan. cfii: nan. cdi: nan"
Jammu & Kashmir,891,988,8.1,72.79,0.14838,0.0585,0.504,jammu & kashmir. rural poverty expenditure per capita: 891. urban poverty expenditure per capita: 988. headcount ratio: 8.1%. 2011 rural percentage: 72.79. fii rank: 0.14838. cfii: 0.0585. cdi: 0.504
Puducherry,"1,301","1,309",2.8,31.69,,,,"puducherry. rural poverty expenditure per capita: 1,301. urban poverty expenditure per capita: 1,309. headcount ratio: 2.8%. 2011 rural percentage: 31.69. fii rank: nan. cfii: nan. cdi: nan"
Andhra Pradesh,860,"1,009",9.2,70.42,0.39374,0.2897,0.521,"andhra pradesh. rural poverty expenditure per capita: 860. urban poverty expenditure per capita: 1,009. headcount ratio: 9.2%. 2011 rural percentage: 70.42. fii rank: 0.39374. cfii: 0.2897. cdi: 0.521"
Chhattisgarh,738,849,39.9,76.76,0.12939,0.0539,0.752,chhattisgarh. rural poverty expenditure per capita: 738. urban poverty expenditure per capita: 849. headcount ratio: 39.9%. 2011 rural percentage: 76.76. fii rank: 0.12939. cfii: 0.0539. cdi: 0.752
Chandigarh,"1,155","1,155",9.7,2.75,,,,"chandigarh. rural poverty expenditure per capita: 1,155. urban poverty expenditure per capita: 1,155. headcount ratio: 9.7%. 2011 rural percentage: 2.75. fii rank: nan. cfii: nan. cdi: nan"
Manipur,"1,118","1,170",17.4,79.79,,,,"manipur. rural poverty expenditure per capita: 1,118. urban poverty expenditure per capita: 1,170. headcount ratio: 17.4%. 2011 rural percentage: 79.79. fii rank: nan. cfii: nan. cdi: nan"
Orissa/Odisha,695,861,18.9,83.82,0.24537,0.1564,0.798,orissa/odisha. rural poverty expenditure per capita: 695. urban poverty expenditure per capita: 861. headcount ratio: 18.9%. 2011 rural percentage: 83.82. fii rank: 0.24537. cfii: 0.1564. cdi: 0.798
Goa,"1,090","1,134",9.9,37.83,0.60341,0.5122,0.045,"goa. rural poverty expenditure per capita: 1,090. urban poverty expenditure per capita: 1,134. headcount ratio: 9.9%. 2011 rural percentage: 37.83. fii rank: 0.60341. cfii: 0.5122. cdi: 0.045"
Karnataka,902,"1,089",37.0,61.43,0.35686,0.2091,0.453,"karnataka. rural poverty expenditure per capita: 902. urban poverty expenditure per capita: 1,089. headcount ratio: 37.0%. 2011 rural percentage: 61.43. fii rank: 0.35686. cfii: 0.2091. cdi: 0.453"
Arunachal Pradesh,930,"1,060",34.7,77.33,,,,"arunachal pradesh. rural poverty expenditure per capita: 930. urban poverty expenditure per capita: 1,060. headcount ratio: 34.7%. 2011 rural percentage: 77.33. fii rank: nan. cfii: nan. cdi: nan"
Tripura,798,920,11.3,73.82,,,,tripura. rural poverty expenditure per capita: 798. urban poverty expenditure per capita: 920. headcount ratio: 11.3%. 2011 rural percentage: 73.82. fii rank: nan. cfii: nan. cdi: nan
Assam,828,"1,008",32.0,85.92,0.20857,0.1151,0.707,"assam. rural poverty expenditure per capita: 828. urban poverty expenditure per capita: 1,008. headcount ratio: 32.0%. 2011 rural percentage: 85.92. fii rank: 0.20857. cfii: 0.1151. cdi: 0.707"
Lakshadweep,"1,018",987,9.9,21.2,,,,"lakshadweep. rural poverty expenditure per capita: 1,018. urban poverty expenditure per capita: 987. headcount ratio: 9.9%. 2011 rural percentage: 21.2. fii rank: nan. cfii: nan. cdi: nan"
Bihar,778,923,33.7,88.7,0.20114,0.0731,0.765,bihar. rural poverty expenditure per capita: 778. urban poverty expenditure per capita: 923. headcount ratio: 33.7%. 2011 rural percentage: 88.7. fii rank: 0.20114. cfii: 0.0731. cdi: 0.765
Delhi,"1,145","1,134",39.3,2.5,,,,"delhi. rural poverty expenditure per capita: 1,145. urban poverty expenditure per capita: 1,134. headcount ratio: 39.3%. 2011 rural percentage: 2.5. fii rank: nan. cfii: nan. cdi: nan"
Tamil Nadu,880,937,8.2,51.55,0.47295,0.2785,0.341,tamil nadu. rural poverty expenditure per capita: 880. urban poverty expenditure per capita: 937. headcount ratio: 8.2%. 2011 rural percentage: 51.55. fii rank: 0.47295. cfii: 0.2785. cdi: 0.341
